Antecedent;Consequent;Support;Confidence
citrus fruit;whole milk;107;0.13459119496855346
coffee;whole milk;57;0.12050739957716702
soda;whole milk;174;0.11975223675154852
soda, other vegetables;whole milk;17;0.11724137931034483
soda, rolls/buns;whole milk;15;0.12396694214876033
soda, rolls/buns;other vegetables;17;0.14049586776859505
soda, other vegetables;rolls/buns;17;0.11724137931034483
rolls/buns, other vegetables;soda;17;0.10759493670886076
curd;other vegetables;53;0.10515873015873016
curd;whole milk;62;0.12301587301587301
other vegetables;whole milk;222;0.12151067323481117
yogurt, other vegetables;whole milk;17;0.14049586776859505
yogurt, whole milk;other vegetables;17;0.10179640718562874
yogurt, rolls/buns;whole milk;20;0.17094017094017094
yogurt, whole milk;rolls/buns;20;0.11976047904191617
yogurt;whole milk;167;0.12996108949416343
frozen vegetables;other vegetables;47;0.11217183770883055
frozen vegetables;whole milk;57;0.1360381861575179
specialty chocolate;other vegetables;25;0.10460251046025104
hamburger meat;other vegetables;33;0.10091743119266056
hamburger meat;whole milk;46;0.14067278287461774
tropical fruit;whole milk;123;0.12130177514792899
bottled water;whole milk;107;0.11784140969162996
sausage, rolls/buns;whole milk;17;0.2125
sausage, whole milk;rolls/buns;17;0.12686567164179105
sausage, soda;whole milk;16;0.1797752808988764
sausage, whole milk;soda;16;0.11940298507462686
sausage;whole milk;134;0.14839424141749724
sausage, yogurt;whole milk;22;0.2558139534883721
sausage, whole milk;yogurt;22;0.16417910447761194
yogurt, whole milk;sausage;22;0.1317365269461078
shopping bags;other vegetables;74;0.10393258426966293
shopping bags;whole milk;95;0.13342696629213482
sliced cheese;whole milk;22;0.10476190476190476
sliced cheese;other vegetables;21;0.1
bottled beer;whole milk;107;0.15781710914454278
bottled beer;other vegetables;70;0.10324483775811209
domestic eggs;whole milk;79;0.14234234234234233
whipped/sour cream;whole milk;69;0.10550458715596331
berries;other vegetables;40;0.12269938650306748
berries;whole milk;34;0.10429447852760736
onions;whole milk;44;0.14521452145214522
waffles;whole milk;39;0.1407942238267148
chocolate;whole milk;44;0.12464589235127478
chocolate;rolls/buns;42;0.11898016997167139
brown bread;whole milk;67;0.11900532859680284
butter;whole milk;70;0.13282732447817835
root vegetables;whole milk;113;0.10854947166186359
chicken;rolls/buns;43;0.10311750599520383
chicken;whole milk;51;0.1223021582733813
specialty bar;whole milk;25;0.11961722488038277
specialty bar;other vegetables;25;0.11961722488038277
frankfurter;whole milk;79;0.13982300884955753
frankfurter;other vegetables;77;0.13628318584070798
fruit/vegetable juice;whole milk;66;0.12966601178781925
fruit/vegetable juice;rolls/buns;56;0.1100196463654224
napkins;whole milk;36;0.10876132930513595
beef;whole milk;70;0.1377952755905512
pastry;whole milk;97;0.12532299741602068
canned beer;whole milk;90;0.1282051282051282
white bread;other vegetables;39;0.10863509749303621
white bread;whole milk;47;0.1309192200557103
pickled vegetables;whole milk;15;0.11194029850746269
meat;whole milk;33;0.13095238095238096
meat;other vegetables;32;0.12698412698412698
ice cream;rolls/buns;26;0.1145374449339207
ice cream;whole milk;29;0.1277533039647577
candy;rolls/buns;22;0.10232558139534884
candy;whole milk;32;0.14883720930232558
soft cheese;rolls/buns;15;0.1
soft cheese;whole milk;18;0.12
soft cheese;other vegetables;18;0.12
soft cheese;yogurt;19;0.12666666666666668
frozen meals;whole milk;29;0.11553784860557768
frozen meals;other vegetables;32;0.12749003984063745
oil;soda;27;0.1210762331838565
oil;other vegetables;27;0.1210762331838565
oil;whole milk;29;0.13004484304932734
pip fruit;other vegetables;74;0.1008174386920981
