Member_number;Date;Baskets
1249;01/01/2014;coffee,citrus fruit
1381;01/01/2014;soda,curd
1440;01/01/2014;yogurt,other vegetables
1659;01/01/2014;specialty chocolate,frozen vegetables
1789;01/01/2014;hamburger meat,candles
1922;01/01/2014;other vegetables,tropical fruit
2226;01/01/2014;sausage,bottled water
2237;01/01/2014;bottled water,Instant food products
2351;01/01/2014;shopping bags,cleaner
2542;01/01/2014;bottled water,sliced cheese
2610;01/01/2014;hamburger meat,domestic eggs,bottled beer
2709;01/01/2014;yogurt,frozen vegetables
2727;01/01/2014;hamburger meat,frozen potato products
2943;01/01/2014;whole milk,flower (seeds)
2974;01/01/2014;bottled water,whipped/sour cream,berries
3681;01/01/2014;onions,whipped/sour cream,dishes
3797;01/01/2014;whole milk,waffles
3942;01/01/2014;yogurt,other vegetables,Instant food products
3956;01/01/2014;shopping bags,yogurt,waffles,chocolate
4260;01/01/2014;soda,brown bread
4942;01/01/2014;butter,frozen vegetables
1066;02/01/2014;root vegetables,bottled beer
1248;02/01/2014;butter,chicken
1265;02/01/2014;other vegetables,whole milk,soda
1365;02/01/2014;specialty bar,frozen vegetables
1528;02/01/2014;frozen vegetables,tropical fruit
1814;02/01/2014;frankfurter,sparkling wine
1870;02/01/2014;napkins,fruit/vegetable juice
2020;02/01/2014;beef,fruit/vegetable juice
2043;02/01/2014;waffles,brown bread
2311;02/01/2014;canned beer,pastry
2472;02/01/2014;white bread,other vegetables
2480;02/01/2014;pickled vegetables,citrus fruit
2828;02/01/2014;curd,meat
3130;02/01/2014;ice cream,yogurt
3178;02/01/2014;butter,candy
3259;02/01/2014;soda,dishes
3538;02/01/2014;yogurt,waffles
3641;02/01/2014;root vegetables,soft cheese
3692;02/01/2014;frozen dessert,misc. beverages
3977;02/01/2014;frozen meals,butter milk,brown bread,oil
4014;02/01/2014;shopping bags,soda
4364;02/01/2014;yogurt,brown bread
4408;02/01/2014;pip fruit,frozen fish
4450;02/01/2014;beef,condensed milk
4666;02/01/2014;dessert,frozen vegetables
4847;02/01/2014;soda,other vegetables
4860;02/01/2014;cream cheese ,sugar
4907;02/01/2014;whipped/sour cream,bottled beer,rolls/buns
4933;02/01/2014;bottled water,hard cheese
1171;03/01/2014;whipped/sour cream,soda
1253;03/01/2014;liqueur,pastry
1529;03/01/2014;preservation products,soups
1899;03/01/2014;other vegetables,brown bread
2065;03/01/2014;sausage,white bread
2459;03/01/2014;whipped/sour cream,curd
2480;03/01/2014;other vegetables,soda,salty snack
2538;03/01/2014;berries,pastry
