Member_number;Date;Baskets
01/01/2014;1249;citrus fruit,coffee
01/01/2014;1381;curd,soda
01/01/2014;1440;other vegetables,yogurt
01/01/2014;1659;frozen vegetables,specialty chocolate
01/01/2014;1789;candles,hamburger meat
01/01/2014;1922;other vegetables,tropical fruit
01/01/2014;2226;bottled water,sausage
01/01/2014;2237;Instant food products,bottled water
01/01/2014;2351;cleaner,shopping bags
01/01/2014;2542;bottled water,sliced cheese
01/01/2014;2610;bottled beer,domestic eggs,hamburger meat
01/01/2014;2709;frozen vegetables,yogurt
01/01/2014;2727;frozen potato products,hamburger meat
01/01/2014;2943;flower (seeds),whole milk
01/01/2014;2974;berries,bottled water,whipped/sour cream
01/01/2014;3681;dishes,onions,whipped/sour cream
01/01/2014;3797;waffles,whole milk
01/01/2014;3942;Instant food products,other vegetables,yogurt
01/01/2014;3956;chocolate,shopping bags,waffles,yogurt
01/01/2014;4260;brown bread,soda
01/01/2014;4942;butter,frozen vegetables
02/01/2014;1175;hamburger meat,other vegetables
02/01/2014;1809;hard cheese,root vegetables,waffles
02/01/2014;1878;dessert,root vegetables
02/01/2014;1965;chewing gum,yogurt
02/01/2014;2202;coffee,sauces
02/01/2014;2475;dishes,roll products 
02/01/2014;2690;grapes,rolls/buns
02/01/2014;2717;fruit/vegetable juice,fruit/vegetable juice
02/01/2014;2755;beef,fruit/vegetable juice,whole milk
02/01/2014;3107;rolls/buns,whole milk
02/01/2014;3120;beef,newspapers,whole milk
02/01/2014;3156;soda,whipped/sour cream
02/01/2014;3220;canned beer,salty snack
02/01/2014;3243;pot plants,whole milk
02/01/2014;3663;frozen vegetables,roll products ,rolls/buns
02/01/2014;3758;domestic eggs,rolls/buns,rolls/buns
02/01/2014;3805;semi-finished bread,white bread
02/01/2014;4140;curd,newspapers
02/01/2014;4247;butter,soda
02/01/2014;4255;frankfurter,margarine
02/01/2014;4316;candy,tropical fruit
02/01/2014;4527;brown bread,curd
02/01/2014;4548;UHT-milk,other vegetables
02/01/2014;4746;margarine,newspapers
02/01/2014;4887;long life bakery product,soap
03/01/2014;1241;margarine,oil
03/01/2014;1335;dishes,domestic eggs,oil,waffles
03/01/2014;1339;margarine,other vegetables
03/01/2014;1362;mustard,tropical fruit
03/01/2014;1483;dessert,pastry
03/01/2014;1658;citrus fruit,flour
03/01/2014;1764;honey,salty snack
03/01/2014;1864;butter,oil
03/01/2014;2085;domestic eggs,soda
03/01/2014;2279;curd,long life bakery product,pot plants,soda
03/01/2014;2514;soda,whole milk
03/01/2014;2595;chewing gum,rolls/buns
03/01/2014;2602;frankfurter,whole milk
03/01/2014;2935;processed cheese,rolls/buns
03/01/2014;3517;brown bread,curd
03/01/2014;3737;instant coffee,shopping bags
03/01/2014;3746;butter,meat spreads
03/01/2014;4146;dessert,root vegetables
03/01/2014;4625;whipped/sour cream,white bread
03/01/2014;4664;beef,rolls/buns
03/01/2014;4822;ice cream,yogurt
04/01/2014;1052;beef,shopping bags
04/01/2014;1169;bottled water,liquor
04/01/2014;1852;chocolate,tropical fruit
04/01/2014;1948;other vegetables,other vegetables
04/01/2014;2361;light bulbs,whipped/sour cream
04/01/2014;2733;red/blush wine,soda
04/01/2014;2847;margarine,soups
04/01/2014;2965;cat food,dessert,salty snack,white bread
04/01/2014;3028;butter,white bread
04/01/2014;3141;frozen vegetables,napkins,other vegetables
04/01/2014;3284;instant coffee,other vegetables,yogurt
04/01/2014;3398;cat food,chocolate
04/01/2014;3621;citrus fruit,cling film/bags,ham
04/01/2014;3848;brown bread,chocolate marshmallow
04/01/2014;4310;bottled water,candy
04/01/2014;4465;frozen potato products,specialty chocolate
04/01/2014;4830;ice cream,soda
05/01/2014;1415;fruit/vegetable juice,sausage
05/01/2014;1891;hygiene articles,white bread
05/01/2014;1969;cat food,fruit/vegetable juice,jam,other vegetables
05/01/2014;2047;cat food,tropical fruit
05/01/2014;2129;berries,coffee
05/01/2014;2174;bottled water,brown bread,domestic eggs
05/01/2014;2193;bottled beer,whole milk
05/01/2014;2238;curd,pastry,whole milk
05/01/2014;2269;hamburger meat,sliced cheese
05/01/2014;2618;bottled water,flower (seeds),specialty chocolate,whipped/sour cream
05/01/2014;2725;baking powder,whole milk
05/01/2014;2847;processed cheese,rolls/buns
05/01/2014;2982;coffee,sugar
05/01/2014;3425;citrus fruit,soda
05/01/2014;3639;flower (seeds),sweet spreads
05/01/2014;3684;newspapers,newspapers,rolls/buns
05/01/2014;3814;bottled water,red/blush wine
05/01/2014;4182;liver loaf,vinegar,whole milk
05/01/2014;4426;Instant food products,pastry,pip fruit
05/01/2014;4442;baking powder,citrus fruit
05/01/2014;4601;cream cheese ,pot plants,yogurt
05/01/2014;4823;UHT-milk,frozen meals
05/01/2014;4938;UHT-milk,meat,shopping bags
05/01/2014;4997;canned beer,whole milk
06/01/2014;1057;domestic eggs,sliced cheese,soda,soda
06/01/2014;1410;dishes,rum,sausage
06/01/2014;1440;fruit/vegetable juice,tropical fruit
06/01/2014;1489;brown bread,newspapers,vinegar
06/01/2014;1828;herbs,rolls/buns,spread cheese
06/01/2014;2010;other vegetables,yogurt
06/01/2014;2284;fruit/vegetable juice,tropical fruit
06/01/2014;2354;beverages,rolls/buns,soups,white bread
06/01/2014;2594;hard cheese,soft cheese
06/01/2014;2595;cream cheese ,curd,domestic eggs
06/01/2014;2638;misc. beverages,root vegetables
06/01/2014;3006;brown bread,waffles
06/01/2014;3113;cling film/bags,hygiene articles
06/01/2014;3218;dishes,pastry,waffles
06/01/2014;3595;bottled water,canned beer,domestic eggs,waffles
06/01/2014;3614;frozen meals,other vegetables
06/01/2014;3743;coffee,domestic eggs,photo/film,soda
06/01/2014;3768;dessert,yogurt
06/01/2014;3849;whole milk,whole milk
06/01/2014;4575;mustard,sausage
06/01/2014;4649;other vegetables,soda
06/01/2014;4913;onions,whipped/sour cream
06/01/2014;4975;berries,bottled water,canned beer
07/01/2014;1049;margarine,specialty bar
07/01/2014;1113;newspapers,whole milk,yogurt
07/01/2014;1320;mayonnaise,processed cheese
07/01/2014;1364;citrus fruit,frozen dessert
07/01/2014;1522;shopping bags,waffles,whole milk
07/01/2014;1747;frankfurter,frozen vegetables,margarine
07/01/2014;1825;UHT-milk,long life bakery product,whole milk
07/01/2014;1922;whipped/sour cream,yogurt
07/01/2014;1947;berries,specialty chocolate,white bread,whole milk
07/01/2014;2026;margarine,other vegetables
07/01/2014;2236;bottled beer,candy,soda
07/01/2014;2369;beef,soda
07/01/2014;2411;canned beer,other vegetables
07/01/2014;2573;brown bread,zwieback
07/01/2014;2588;coffee,whole milk
07/01/2014;2898;bottled water,rolls/buns
07/01/2014;3376;cream cheese ,other vegetables,soda
07/01/2014;3444;brown bread,canned beer,rice,syrup
07/01/2014;3850;pickled vegetables,rolls/buns
07/01/2014;3966;canned beer,whole milk
07/01/2014;4171;whole milk,whole milk
07/01/2014;4308;soda,whole milk
07/01/2014;4367;curd,domestic eggs,frozen vegetables
07/01/2014;4551;mayonnaise,pastry
07/01/2014;4722;frozen dessert,hygiene articles
07/01/2014;4818;pip fruit,sliced cheese,white bread
07/01/2014;4969;baking powder,butter milk,salty snack,soda
08/01/2014;1243;cling film/bags,soda
08/01/2014;1285;butter,rolls/buns
08/01/2014;1495;meat,other vegetables
08/01/2014;2031;detergent,rolls/buns
08/01/2014;2086;butter,root vegetables
08/01/2014;2107;coffee,whole milk
08/01/2014;2294;bottled beer,sugar
08/01/2014;2407;root vegetables,sliced cheese
08/01/2014;2651;dishes,shopping bags
