Product,Image Link
female sanitary products,https://www.morelandobgyn.com/hs-fs/hubfs/Feminine%20Hygiene%20Products.jpg?width=509&height=339&name=Feminine%20Hygiene%20Products.jpg
syrup,http://www.pearlmillingcompany.com/images/products/syrups/original.png
sweet spreads,https://images.squarespace-cdn.com/content/v1/5fb0406513eba3050d70a2bb/1621302275606-B6C6AVO51PA6KJRR42H3/3+Spread+Cover.jpg
cereals,https://global.discourse-cdn.com/flex020/uploads/mst3k/original/3X/3/4/34cfdb99c4818d202e6b2fba093ef5815b4c00e2.jpeg
skin care,"https://hips.hearstapps.com/hmg-prod/images/2-natural-skincare-brands-670eadb4e4fcf.jpg?crop=0.6666666666666666xw:1xh;center,top&resize=1200:*"
spread cheese,https://i5.walmartimages.com/seo/Philadelphia-Original-Cream-Cheese-Spread-8-oz-Tub_d1f5fb6c-5714-4866-8c84-16e2fd18a978.7c5a4def07798d3dead739659a6517ea.jpeg?odnHeight=768&odnWidth=768&odnBg=FFFFFF
beverages,https://eu-images.contentstack.com/v3/assets/blt7a82e963f79cc4ec/blt60803213ffe6589c/66ec2f2d00900379f7caf243/beverages.png
herbs,"https://assets.epicurious.com/photos/661820a17af12b050e92c390/2:3/w_3788,h_5682,c_limit/Fresh-Herbs_HERO_040424_3581.jpg"
grapes,https://www.kroger.com/product/images/xlarge/front/0000000004023
popcorn,https://www.simplyrecipes.com/thmb/Xzggu-Md45HKhhYSw4DK8tGlZ_I=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/Simply-Recipes-Perfect-Popcorn-LEAD-41-4a75a18443ae45aa96053f30a3ed0a6b.JPG
pasta,"https://assets.epicurious.com/photos/5988e3458e3ab375fe3c0caf/1:1/w_3607,h_3607,c_limit/How-to-Make-Chicken-Alfredo-Pasta-hero-02082017.jpg"
dental care,https://brimhalldentalgroup.com/wp-content/uploads/important-dental-care-for-seniors-from-a-general-dentist.jpg
turkey,https://upload.wikimedia.org/wikipedia/commons/8/8a/Male_wild_turkey_%28Meleagris_gallopavo%29_strutting.jpg
white wine,http://www.coravin.com/cdn/shop/articles/types_of_white_wine.jpg?v=1732127889
whisky,http://www.shawnfinewine.com/cdn/shop/products/AA76294E-0A50-454C-8871-57532B50F3F5.jpg?v=1661721941
liquor (appetizer),https://i.pinimg.com/736x/83/ae/55/83ae55620bba0752f7d05c13ec1ee56b.jpg
detergent,https://i5.walmartimages.com/asr/58d11db7-34ce-44e8-87e5-2ee3138a5353.6aaad16c7f06c2d6738eff0d2ced0bf6.jpeg
chewing gum,https://m.media-amazon.com/images/I/A1idDOGxvHL.jpg
photo/film,https://upload.wikimedia.org/wikipedia/commons/c/ca/Undeveloped_35_mm_film.jpg
rum,http://shopbluebirddistilling.com/cdn/shop/files/DarkRum.png?v=1717077329
pot plants,https://m.media-amazon.com/images/I/61O7VHZtmgL.jpg
make up remover,https://m.media-amazon.com/images/I/71Pe1fxadeL.jpg
honey,https://cdn.mos.cms.futurecdn.net/zcz8f72orNC9GKgm3tbqMY-1200-80.jpg
canned fruit,https://i5.walmartimages.com/seo/Del-Monte-Fruit-Cocktail-Extra-Light-Syrup-Canned-Fruit-105-oz-Can_5af5e96e-a1c7-48d7-ad1a-f0641767ec09.3d3186becd806b988d393f4655e87656.jpeg?odnHeight=768&odnWidth=768&odnBg=FFFFFF
curd cheese,http://cheesemaking.com/cdn/shop/products/cottage-cheese-recipe-dry-curd.jpg?v=1533180777&width=2048
ketchup,https://i5.walmartimages.com/seo/Heinz-Tomato-Ketchup-20-oz_df19e3bc-27e9-4d72-8f83-eb86862ffb00.c02e78adf42a1c126ca71c6e0946c298.jpeg
instant coffee,https://shop.smucker.com/cdn/shop/files/q9f4kbc2ejmpyc9ihdup.jpg?v=1702052814&width=2400
cake bar,https://i5.walmartimages.com/seo/7Days-Cake-Bars-Chocolate-2-12oz-Pack-of-16_41c1130f-1e46-49f6-a43b-74286905e28e.1b462473293d93a63e71ca1ae86044bf.jpeg?odnHeight=768&odnWidth=768&odnBg=FFFFFF
vinegar,https://m.media-amazon.com/images/I/71U9sUVFmzL.jpg
organic sausage,https://dylzm7u8zqclv.cloudfront.net/2020/11/16/12/39/15/9db5a2d6-c5ae-443b-a699-99493518e9f7/Organic-Sweet-Italian-Chicken-Sausage_Front.png
nuts/prunes,https://www.bulgarian-nuts.com/wp-content/uploads/2017/01/dried-pitted-prunes-bulgarian-nuts.jpg
tidbits,"https://m.media-amazon.com/images/I/41uh8aQkISL._AC_UF894,1000_QL80_.jpg"
kitchen towels,https://m.media-amazon.com/images/I/815cJs5w8yL.jpg
abrasive cleaner,https://kleanstripauto.com/resources/product-images/bulldog-abrasive-cleaner.png
baking powder,https://m.media-amazon.com/images/I/81wFgy9GwuL.jpg
zwieback,https://upload.wikimedia.org/wikipedia/commons/7/79/Zwieback-1.jpg
sauces,https://embed.widencdn.net/img/beef/t7czsycsiw/1120x840px/AdobeStock_148561805.jpeg?keep=c&u=7fueml
fish,https://cdn.britannica.com/14/162014-050-45C1FD13/warm-bloodedness-opah-results-heat-exchange-system-gills.jpg
potato products,"https://assets.bonappetit.com/photos/63dd38967ce1373a96817e3d/3:2/w_5163,h_3442,c_limit/Potato_Taste_test.jpg"
cocoa drinks,"https://assets.epicurious.com/photos/61eb09dfb37c8d2963dd7bde/1:1/w_2849,h_2849,c_limit/HotCocoaForOne_RECIPE_012022_086_VOG_final.jpg"
salt,https://www.canr.msu.edu/outreach/uploads/images/salt-6728600_1280.jpg?language_id=1
snack products,https://m.media-amazon.com/images/I/91f7ZyWZOeL.jpg
